"variable","Estimate","StdError","z_val"
"Trt: A",-3.1549695257151225,0.27097157744616174,-11.643175108806275
"Trt: B",-2.8123535546527743,0.2131989252041974,-13.191218257592817
"Trt: C",-2.593163086926935,0.19798163418975637,-13.097998193314773
"Trt: D",-2.326058485855408,0.20620672481823646,-11.280226131838047
"Trt: E",-2.5620528199817563,0.22122403653961797,-11.581258800161756
"Trt: F",-2.1346748366742543,0.22293233569416224,-9.575438350059656
"Trt: G",-2.125298357992045,0.19928113337021186,-10.664824722989708
"Trt: H",-2.0413747514966825,0.18563172937863945,-10.996906392725673
"Trt: I",-2.251250640844207,0.19586563649263736,-11.493852015888615
"Trt: J",-1.8235170843915622,0.20238022489416693,-9.01035210008861
"Trt: K",-1.326413414870963,0.19884575231225815,-6.670564492562179
"Trt: L",-1.3084381597544428,0.20304529067663613,-6.444070460310367
"Trt: M",-1.1042609889281472,0.16883629209995804,-6.540424308029574
"Trt: N",-0.9318040749836735,0.16673861043030067,-5.588412141488861
"Trt: O",-0.9921022067868749,0.18098249143282,-5.481757925490485
"Trt: P",-0.8244833718261193,0.18656018177470324,-4.419396271932212
"Trt: Q",-0.6242667481637437,0.19298543542321986,-3.234786846969657
"Trt: R",-0.15909502778386647,0.18799972555514946,-0.8462513831553237
"Trt: S",-0.22255226057172062,0.15979334217559185,-1.3927505210271212
"Trt: T",-0.288083088947784,0.16826627820651985,-1.7120666839389427
"Trt: U",0.10235617567324401,0.17746620084331205,0.5767643370222143
"Trt: V",0.07549279346640858,0.18777075180467917,0.4020476711140661
"Trt: W",0.4246780078254287,0.19888307049085416,2.1353150209180725
"Trt: X",0.2565393567593241,0.1949300597597174,1.3160584728468767
"Trt: A & x",0.05137256873608745,0.013338334929067537,3.8514978825530832
"Trt: B & x",0.10864386971844185,0.0096854306751252,11.217247158401394
"Trt: C & x",0.14389341185320612,0.009438684439617527,15.245070727148596
"Trt: D & x",0.19875880777665939,0.01318718836689045,15.072114103995839
"Trt: E & x",0.23714564889582487,0.015900920169396236,14.913957580407713
"Trt: F & x",0.2889173817159098,0.021915525209474162,13.183228736448887
"Trt: G & x",0.055746824473520966,0.009414696472575321,5.921255627933359
"Trt: H & x",0.10167050622690155,0.008610807128434513,11.807314309847484
"Trt: I & x",0.16559232791437817,0.010831611812861406,15.287875043468102
"Trt: J & x",0.22101128679984336,0.016325597437162748,13.537715091316944
"Trt: K & x",0.2431661489374113,0.020688650577050667,11.753601233284332
"Trt: L & x",0.27186730809755594,0.024130558501529755,11.266515363924167
"Trt: M & x",0.055189570572747364,0.007817883241792334,7.059400718306783
"Trt: N & x",0.09208728665940681,0.00831718996500414,11.0719229748122
"Trt: O & x",0.1640896075295186,0.013913834065241288,11.793270407
"Trt: P & x",0.20403061521736135,0.019461540658911876,10.4837853689621
"Trt: Q & x",0.26267913550985805,0.029509293544490254,8.901573164190623
"Trt: R & x",0.2375529371409606,0.03250577417574855,7.308022748714927
"Trt: S & x",0.05340493419779327,0.007628096096571266,7.00108303850526
"Trt: T & x",0.10833976518076144,0.01144859638380371,9.463148280258123
"Trt: U & x",0.14971144250251162,0.02121529201476007,7.056770295612862
"Trt: V & x",0.2325681708043646,0.03685624006741863,6.310143692871094
"Trt: W & x",0.4006651555374426,0.10145847399004422,3.9490556065012226
"Trt: X & x",0.3236044554705288,0.06642981835215644,4.871373481032919
