"","grahami","opalinus","height","diameter","light","time","N","gfrac"
"1",20,2,"<5ft","<=2in","sunny","early",22,0.909090909090909
"2",8,1,"<5ft","<=2in","sunny","midday",9,0.888888888888889
"3",4,4,"<5ft","<=2in","sunny","late",8,0.5
"4",13,0,">=5ft","<=2in","sunny","early",13,1
"5",8,0,">=5ft","<=2in","sunny","midday",8,1
"6",12,0,">=5ft","<=2in","sunny","late",12,1
"7",8,3,"<5ft",">2in","sunny","early",11,0.727272727272727
"8",4,1,"<5ft",">2in","sunny","midday",5,0.8
"9",5,3,"<5ft",">2in","sunny","late",8,0.625
"10",6,0,">=5ft",">2in","sunny","early",6,1
"11",1,1,">=5ft",">2in","sunny","late",2,0.5
"12",34,11,"<5ft","<=2in","shady","early",45,0.755555555555556
"13",69,20,"<5ft","<=2in","shady","midday",89,0.775280898876405
"14",18,10,"<5ft","<=2in","shady","late",28,0.642857142857143
"15",31,5,">=5ft","<=2in","shady","early",36,0.861111111111111
"16",55,4,">=5ft","<=2in","shady","midday",59,0.932203389830508
"17",13,3,">=5ft","<=2in","shady","late",16,0.8125
"18",17,15,"<5ft",">2in","shady","early",32,0.53125
"19",60,32,"<5ft",">2in","shady","midday",92,0.652173913043478
"20",8,8,"<5ft",">2in","shady","late",16,0.5
"21",12,1,">=5ft",">2in","shady","early",13,0.923076923076923
"22",21,5,">=5ft",">2in","shady","midday",26,0.807692307692308
"23",4,4,">=5ft",">2in","shady","late",8,0.5
